    D & B Used Cars    |    "111 Old Benbrook Rd, Dallas, TX 45137"    |    817-555-5555    
 10112 | 1993 | Ford | Explorer | SUV | Red | 525123 | 995.00 
 37846 | 2001 | Ford | Ranger | truck | Yellow | 172544 | 1995.00 
 5236 | 2021 | honda | Accord | sedan | red | 25000 | 23000.00 
 5236 | 2021 | Honda | Accord | Sedan | Red | 25000 | 23000.00 
 8795 | 2020 | Toyota | Camry | Sedan | Blue | 28000 | 25500.00 
 6321 | 2019 | Ford | Mustang | Coupe | Black | 35000 | 32000.00 
 7412 | 2022 | Chevrolet | Silverado | Truck | White | 40000 | 38000.00 
 5487 | 2021 | Nissan | Altima | Sedan | Silver | 27000 | 24500.00 
 9320 | 2018 | BMW | X5 | SUV | Gray | 50000 | 45000.00 
 3658 | 2020 | Mercedes-Benz | C-Class | Sedan | White | 45000 | 42000.00 
 1023 | 2023 | Audi | A4 | Sedan | Blue | 38000 | 36000.00 
 6985 | 2022 | Jeep | Wrangler | SUV | Green | 35000 | 33000.00 
 4579 | 2019 | Hyundai | Tucson | SUV | Red | 26000 | 23500.00 
 8456 | 2020 | Volkswagen | Golf | Hatchback | Black | 23000 | 21000.00 
 2134 | 2021 | Subaru | Outback | Wagon | Gray | 32000 | 29500.00 
 4852 | 2015 | BMW | M4 | sedan | black | 100 | 80000.00 
 4123 | 2015 | honda | civic | sedan | black | 2000 | 20000.00 
